Job Title,Company Name,Required Qualifications,Required Skills,Programming Languages,LinkedIn Profile,Company Logo,Min Salary (LPA),Max Salary (LPA)
UI/UX Designer,Company_253,B.E. in Electronics,"Java, AWS, HTML","Python, R",https://www.linkedin.com/company/company_253,https://dummyimage.com/100x100/000/fff.png&text=Company_253,5,6
QA Engineer,Company_254,B.E. in Electronics,"Machine Learning, Node.js, Deep Learning","Ruby, R",https://www.linkedin.com/company/company_254,https://dummyimage.com/100x100/000/fff.png&text=Company_254,3,4
QA Engineer,Company_255,B.Tech in Computer Science,"Python, HTML, Kubernetes","SQL, JavaScript",https://www.linkedin.com/company/company_255,https://dummyimage.com/100x100/000/fff.png&text=Company_255,6,7
QA Engineer,Company_256,PhD in Artificial Intelligence,"HTML, Kubernetes, Docker","Ruby, Python",https://www.linkedin.com/company/company_256,https://dummyimage.com/100x100/000/fff.png&text=Company_256,3,6
Backend Developer,Company_257,B.Sc in IT,"AWS, Kubernetes, Deep Learning","Java, Python",https://www.linkedin.com/company/company_257,https://dummyimage.com/100x100/000/fff.png&text=Company_257,3,5
UI/UX Designer,Company_258,M.Tech in AI,"Python, Kubernetes, Machine Learning","Go, Ruby",https://www.linkedin.com/company/company_258,https://dummyimage.com/100x100/000/fff.png&text=Company_258,4,7
Backend Developer,Company_259,B.E. in Electronics,"React, Node.js, Deep Learning","SQL, C++",https://www.linkedin.com/company/company_259,https://dummyimage.com/100x100/000/fff.png&text=Company_259,4,5
DevOps Engineer,Company_260,MCA,"Python, Java, React","C++, SQL",https://www.linkedin.com/company/company_260,https://dummyimage.com/100x100/000/fff.png&text=Company_260,4,6
Software Engineer,Company_261,B.Sc in Data Science,"CSS, Java, Kubernetes","Go, R",https://www.linkedin.com/company/company_261,https://dummyimage.com/100x100/000/fff.png&text=Company_261,6,7
Frontend Developer,Company_262,B.E. in Electronics,"JavaScript, Deep Learning, React","Ruby, C++",https://www.linkedin.com/company/company_262,https://dummyimage.com/100x100/000/fff.png&text=Company_262,6,9
UI/UX Designer,Company_263,B.Tech in Computer Science,"Kubernetes, Deep Learning, Node.js","SQL, Python",https://www.linkedin.com/company/company_263,https://dummyimage.com/100x100/000/fff.png&text=Company_263,5,6
Data Scientist,Company_264,B.E. in Electronics,"AWS, Kubernetes, React","JavaScript, Scala",https://www.linkedin.com/company/company_264,https://dummyimage.com/100x100/000/fff.png&text=Company_264,6,9
Machine Learning Engineer,Company_265,M.Tech in AI,"Python, Deep Learning, JavaScript","JavaScript, Ruby",https://www.linkedin.com/company/company_265,https://dummyimage.com/100x100/000/fff.png&text=Company_265,4,6
Machine Learning Engineer,Company_266,B.E. in Electronics,"Node.js, JavaScript, Machine Learning","Scala, Python",https://www.linkedin.com/company/company_266,https://dummyimage.com/100x100/000/fff.png&text=Company_266,6,7
UI/UX Designer,Company_267,B.Tech in Computer Science,"Docker, Node.js, Kubernetes","SQL, Ruby",https://www.linkedin.com/company/company_267,https://dummyimage.com/100x100/000/fff.png&text=Company_267,3,6
Software Engineer,Company_268,MCA,"Deep Learning, SQL, Python","C++, JavaScript",https://www.linkedin.com/company/company_268,https://dummyimage.com/100x100/000/fff.png&text=Company_268,6,9
Data Analyst,Company_269,M.Tech in AI,"HTML, Docker, CSS","R, Ruby",https://www.linkedin.com/company/company_269,https://dummyimage.com/100x100/000/fff.png&text=Company_269,6,8
Data Analyst,Company_270,B.Sc in IT,"Node.js, AWS, Machine Learning","Java, Go",https://www.linkedin.com/company/company_270,https://dummyimage.com/100x100/000/fff.png&text=Company_270,5,6
Cloud Architect,Company_271,PhD in Artificial Intelligence,"C++, SQL, Docker","Java, Python",https://www.linkedin.com/company/company_271,https://dummyimage.com/100x100/000/fff.png&text=Company_271,5,8
Machine Learning Engineer,Company_272,B.Sc in IT,"Machine Learning, Java, JavaScript","Go, C++",https://www.linkedin.com/company/company_272,https://dummyimage.com/100x100/000/fff.png&text=Company_272,5,8
DevOps Engineer,Company_273,B.Tech in Computer Science,"Java, C++, React","C++, R",https://www.linkedin.com/company/company_273,https://dummyimage.com/100x100/000/fff.png&text=Company_273,4,6
Frontend Developer,Company_274,MCA,"Docker, AWS, React","Python, JavaScript",https://www.linkedin.com/company/company_274,https://dummyimage.com/100x100/000/fff.png&text=Company_274,6,9
Data Analyst,Company_275,B.Tech in Computer Science,"Python, Java, React","R, Java",https://www.linkedin.com/company/company_275,https://dummyimage.com/100x100/000/fff.png&text=Company_275,3,6
Software Engineer,Company_276,BCA,"React, JavaScript, Docker","Python, C++",https://www.linkedin.com/company/company_276,https://dummyimage.com/100x100/000/fff.png&text=Company_276,6,9
Software Engineer,Company_277,MCA,"CSS, React, JavaScript","SQL, Python",https://www.linkedin.com/company/company_277,https://dummyimage.com/100x100/000/fff.png&text=Company_277,3,5
Data Analyst,Company_278,M.Tech in AI,"JavaScript, HTML, CSS","SQL, C++",https://www.linkedin.com/company/company_278,https://dummyimage.com/100x100/000/fff.png&text=Company_278,3,6
QA Engineer,Company_279,B.Tech in Computer Science,"Node.js, C++, Deep Learning","Python, JavaScript",https://www.linkedin.com/company/company_279,https://dummyimage.com/100x100/000/fff.png&text=Company_279,5,6
Software Engineer,Company_280,B.Sc in IT,"React, JavaScript, CSS","Go, Java",https://www.linkedin.com/company/company_280,https://dummyimage.com/100x100/000/fff.png&text=Company_280,4,6
Backend Developer,Company_281,PhD in Artificial Intelligence,"CSS, JavaScript, React","SQL, Go",https://www.linkedin.com/company/company_281,https://dummyimage.com/100x100/000/fff.png&text=Company_281,3,5
Data Scientist,Company_282,M.Tech in AI,"Kubernetes, AWS, HTML","Python, Scala",https://www.linkedin.com/company/company_282,https://dummyimage.com/100x100/000/fff.png&text=Company_282,4,7
Frontend Developer,Company_283,M.Tech in AI,"Deep Learning, Machine Learning, AWS","R, SQL",https://www.linkedin.com/company/company_283,https://dummyimage.com/100x100/000/fff.png&text=Company_283,6,8
Frontend Developer,Company_284,B.Sc in Data Science,"CSS, HTML, C++","SQL, C++",https://www.linkedin.com/company/company_284,https://dummyimage.com/100x100/000/fff.png&text=Company_284,5,8
UI/UX Designer,Company_285,MCA,"JavaScript, C++, Machine Learning","R, C++",https://www.linkedin.com/company/company_285,https://dummyimage.com/100x100/000/fff.png&text=Company_285,4,7
Data Scientist,Company_286,BCA,"CSS, SQL, JavaScript","Ruby, SQL",https://www.linkedin.com/company/company_286,https://dummyimage.com/100x100/000/fff.png&text=Company_286,4,5
QA Engineer,Company_287,B.Tech in Computer Science,"Deep Learning, Node.js, CSS","Python, Java",https://www.linkedin.com/company/company_287,https://dummyimage.com/100x100/000/fff.png&text=Company_287,3,6
Frontend Developer,Company_288,B.Tech in Computer Science,"Node.js, AWS, C++","R, Java",https://www.linkedin.com/company/company_288,https://dummyimage.com/100x100/000/fff.png&text=Company_288,3,5
Machine Learning Engineer,Company_289,BCA,"React, SQL, AWS","C++, Scala",https://www.linkedin.com/company/company_289,https://dummyimage.com/100x100/000/fff.png&text=Company_289,6,7
Cloud Architect,Company_290,B.E. in Electronics,"C++, CSS, Docker","C++, Ruby",https://www.linkedin.com/company/company_290,https://dummyimage.com/100x100/000/fff.png&text=Company_290,5,8
DevOps Engineer,Company_291,B.Tech in Computer Science,"JavaScript, Docker, C++","Ruby, R",https://www.linkedin.com/company/company_291,https://dummyimage.com/100x100/000/fff.png&text=Company_291,4,7
UI/UX Designer,Company_292,PhD in Artificial Intelligence,"Kubernetes, React, C++","JavaScript, R",https://www.linkedin.com/company/company_292,https://dummyimage.com/100x100/000/fff.png&text=Company_292,6,8
Cloud Architect,Company_293,B.Tech in Computer Science,"JavaScript, CSS, C++","JavaScript, Go",https://www.linkedin.com/company/company_293,https://dummyimage.com/100x100/000/fff.png&text=Company_293,3,6
Backend Developer,Company_294,B.Tech in Computer Science,"Java, HTML, AWS","C++, Ruby",https://www.linkedin.com/company/company_294,https://dummyimage.com/100x100/000/fff.png&text=Company_294,6,7
UI/UX Designer,Company_295,B.Sc in IT,"Machine Learning, CSS, Java","Python, Scala",https://www.linkedin.com/company/company_295,https://dummyimage.com/100x100/000/fff.png&text=Company_295,3,6
Frontend Developer,Company_296,BCA,"C++, React, Deep Learning","Scala, Python",https://www.linkedin.com/company/company_296,https://dummyimage.com/100x100/000/fff.png&text=Company_296,3,6
Data Scientist,Company_297,BCA,"Docker, SQL, Kubernetes","Java, SQL",https://www.linkedin.com/company/company_297,https://dummyimage.com/100x100/000/fff.png&text=Company_297,6,8
QA Engineer,Company_298,MCA,"HTML, Python, AWS","JavaScript, C++",https://www.linkedin.com/company/company_298,https://dummyimage.com/100x100/000/fff.png&text=Company_298,4,7
Frontend Developer,Company_299,B.Tech in Computer Science,"Deep Learning, Machine Learning, JavaScript","Scala, Ruby",https://www.linkedin.com/company/company_299,https://dummyimage.com/100x100/000/fff.png&text=Company_299,5,8
Software Engineer,Company_300,B.Sc in Data Science,"Node.js, Docker, Machine Learning","C++, Java",https://www.linkedin.com/company/company_300,https://dummyimage.com/100x100/000/fff.png&text=Company_300,4,5
Data Analyst,Company_301,B.Sc in IT,"Node.js, AWS, Deep Learning","Python, Ruby",https://www.linkedin.com/company/company_301,https://dummyimage.com/100x100/000/fff.png&text=Company_301,6,9
Backend Developer,Company_302,B.Sc in IT,"CSS, AWS, Deep Learning","SQL, Go",https://www.linkedin.com/company/company_302,https://dummyimage.com/100x100/000/fff.png&text=Company_302,4,6
Backend Developer,Company_303,M.Tech in AI,"HTML, Kubernetes, SQL","Ruby, JavaScript",https://www.linkedin.com/company/company_303,https://dummyimage.com/100x100/000/fff.png&text=Company_303,3,6
Data Scientist,Company_304,PhD in Artificial Intelligence,"SQL, Java, C++","Ruby, Go",https://www.linkedin.com/company/company_304,https://dummyimage.com/100x100/000/fff.png&text=Company_304,5,6
Data Scientist,Company_305,PhD in Artificial Intelligence,"Python, SQL, Machine Learning","Python, Ruby",https://www.linkedin.com/company/company_305,https://dummyimage.com/100x100/000/fff.png&text=Company_305,6,8
QA Engineer,Company_306,PhD in Artificial Intelligence,"C++, JavaScript, Python","Ruby, Go",https://www.linkedin.com/company/company_306,https://dummyimage.com/100x100/000/fff.png&text=Company_306,4,5
Data Analyst,Company_307,B.Sc in IT,"Java, SQL, Node.js","Python, Ruby",https://www.linkedin.com/company/company_307,https://dummyimage.com/100x100/000/fff.png&text=Company_307,3,5
Frontend Developer,Company_308,M.Tech in AI,"Machine Learning, Kubernetes, Node.js","C++, Python",https://www.linkedin.com/company/company_308,https://dummyimage.com/100x100/000/fff.png&text=Company_308,6,8
Frontend Developer,Company_309,B.E. in Electronics,"Machine Learning, C++, Docker","R, C++",https://www.linkedin.com/company/company_309,https://dummyimage.com/100x100/000/fff.png&text=Company_309,5,8
QA Engineer,Company_310,B.Sc in IT,"HTML, React, Python","R, Python",https://www.linkedin.com/company/company_310,https://dummyimage.com/100x100/000/fff.png&text=Company_310,5,8
Data Analyst,Company_311,B.Sc in IT,"Deep Learning, Docker, Python","Scala, Go",https://www.linkedin.com/company/company_311,https://dummyimage.com/100x100/000/fff.png&text=Company_311,3,5
Machine Learning Engineer,Company_312,B.Sc in Data Science,"Node.js, CSS, Python","SQL, Scala",https://www.linkedin.com/company/company_312,https://dummyimage.com/100x100/000/fff.png&text=Company_312,4,6
UI/UX Designer,Company_313,B.Sc in IT,"C++, Node.js, Python","C++, R",https://www.linkedin.com/company/company_313,https://dummyimage.com/100x100/000/fff.png&text=Company_313,5,6
Backend Developer,Company_314,PhD in Artificial Intelligence,"AWS, Machine Learning, Docker","Scala, R",https://www.linkedin.com/company/company_314,https://dummyimage.com/100x100/000/fff.png&text=Company_314,5,7
Frontend Developer,Company_315,B.Tech in Computer Science,"JavaScript, Docker, React","SQL, C++",https://www.linkedin.com/company/company_315,https://dummyimage.com/100x100/000/fff.png&text=Company_315,3,6
Cloud Architect,Company_316,B.Tech in Computer Science,"Machine Learning, Node.js, AWS","Go, Python",https://www.linkedin.com/company/company_316,https://dummyimage.com/100x100/000/fff.png&text=Company_316,5,6
UI/UX Designer,Company_317,M.Tech in AI,"JavaScript, React, Docker","Scala, Python",https://www.linkedin.com/company/company_317,https://dummyimage.com/100x100/000/fff.png&text=Company_317,5,7
Backend Developer,Company_318,B.E. in Electronics,"Node.js, Deep Learning, SQL","Ruby, Python",https://www.linkedin.com/company/company_318,https://dummyimage.com/100x100/000/fff.png&text=Company_318,3,5
Cloud Architect,Company_319,PhD in Artificial Intelligence,"Deep Learning, Kubernetes, C++","R, SQL",https://www.linkedin.com/company/company_319,https://dummyimage.com/100x100/000/fff.png&text=Company_319,6,7
DevOps Engineer,Company_320,MCA,"Kubernetes, Deep Learning, Docker","R, Scala",https://www.linkedin.com/company/company_320,https://dummyimage.com/100x100/000/fff.png&text=Company_320,5,7
Data Analyst,Company_321,BCA,"Kubernetes, HTML, React","Python, Scala",https://www.linkedin.com/company/company_321,https://dummyimage.com/100x100/000/fff.png&text=Company_321,3,4
Machine Learning Engineer,Company_322,B.Tech in Computer Science,"CSS, JavaScript, C++","Go, R",https://www.linkedin.com/company/company_322,https://dummyimage.com/100x100/000/fff.png&text=Company_322,3,4
Software Engineer,Company_323,M.Tech in AI,"Docker, HTML, React","C++, Go",https://www.linkedin.com/company/company_323,https://dummyimage.com/100x100/000/fff.png&text=Company_323,3,4
Data Analyst,Company_324,BCA,"Deep Learning, C++, Machine Learning","Scala, R",https://www.linkedin.com/company/company_324,https://dummyimage.com/100x100/000/fff.png&text=Company_324,6,9
Frontend Developer,Company_325,B.E. in Electronics,"HTML, Python, SQL","JavaScript, Go",https://www.linkedin.com/company/company_325,https://dummyimage.com/100x100/000/fff.png&text=Company_325,5,6
Cloud Architect,Company_326,B.Tech in Computer Science,"AWS, Kubernetes, Python","R, JavaScript",https://www.linkedin.com/company/company_326,https://dummyimage.com/100x100/000/fff.png&text=Company_326,5,6
Software Engineer,Company_327,MCA,"Java, Python, HTML","SQL, R",https://www.linkedin.com/company/company_327,https://dummyimage.com/100x100/000/fff.png&text=Company_327,6,7
QA Engineer,Company_328,B.Sc in Data Science,"SQL, Machine Learning, Docker","Go, Scala",https://www.linkedin.com/company/company_328,https://dummyimage.com/100x100/000/fff.png&text=Company_328,4,6
Data Analyst,Company_329,M.Tech in AI,"Docker, Node.js, HTML","Java, Scala",https://www.linkedin.com/company/company_329,https://dummyimage.com/100x100/000/fff.png&text=Company_329,5,7
Machine Learning Engineer,Company_330,B.Tech in Computer Science,"SQL, Deep Learning, Node.js","Ruby, C++",https://www.linkedin.com/company/company_330,https://dummyimage.com/100x100/000/fff.png&text=Company_330,5,6
Machine Learning Engineer,Company_331,B.Sc in Data Science,"Docker, SQL, Kubernetes","SQL, Python",https://www.linkedin.com/company/company_331,https://dummyimage.com/100x100/000/fff.png&text=Company_331,4,7
DevOps Engineer,Company_332,B.Tech in Computer Science,"Kubernetes, Python, JavaScript","Python, R",https://www.linkedin.com/company/company_332,https://dummyimage.com/100x100/000/fff.png&text=Company_332,3,6
Data Scientist,Company_333,B.Sc in IT,"JavaScript, C++, CSS","Python, SQL",https://www.linkedin.com/company/company_333,https://dummyimage.com/100x100/000/fff.png&text=Company_333,5,6
Frontend Developer,Company_334,B.Sc in Data Science,"JavaScript, AWS, Node.js","Go, Java",https://www.linkedin.com/company/company_334,https://dummyimage.com/100x100/000/fff.png&text=Company_334,5,7
Cloud Architect,Company_335,PhD in Artificial Intelligence,"AWS, Docker, Machine Learning","C++, Ruby",https://www.linkedin.com/company/company_335,https://dummyimage.com/100x100/000/fff.png&text=Company_335,3,5
Software Engineer,Company_336,B.Sc in IT,"JavaScript, C++, SQL","SQL, Scala",https://www.linkedin.com/company/company_336,https://dummyimage.com/100x100/000/fff.png&text=Company_336,4,6
Data Scientist,Company_337,PhD in Artificial Intelligence,"Python, C++, Kubernetes","C++, Scala",https://www.linkedin.com/company/company_337,https://dummyimage.com/100x100/000/fff.png&text=Company_337,3,6
QA Engineer,Company_338,B.E. in Electronics,"React, Kubernetes, SQL","Go, C++",https://www.linkedin.com/company/company_338,https://dummyimage.com/100x100/000/fff.png&text=Company_338,5,8
Software Engineer,Company_339,BCA,"AWS, Docker, Deep Learning","Scala, Go",https://www.linkedin.com/company/company_339,https://dummyimage.com/100x100/000/fff.png&text=Company_339,4,5
Data Scientist,Company_340,MCA,"Machine Learning, Kubernetes, HTML","Go, Ruby",https://www.linkedin.com/company/company_340,https://dummyimage.com/100x100/000/fff.png&text=Company_340,4,6
Backend Developer,Company_341,B.Tech in Computer Science,"SQL, Python, Deep Learning","Java, Ruby",https://www.linkedin.com/company/company_341,https://dummyimage.com/100x100/000/fff.png&text=Company_341,3,4
Data Scientist,Company_342,B.Sc in Data Science,"HTML, Python, SQL","Java, Go",https://www.linkedin.com/company/company_342,https://dummyimage.com/100x100/000/fff.png&text=Company_342,3,4
QA Engineer,Company_343,M.Tech in AI,"Docker, Python, HTML","Scala, R",https://www.linkedin.com/company/company_343,https://dummyimage.com/100x100/000/fff.png&text=Company_343,3,4
UI/UX Designer,Company_344,M.Tech in AI,"Python, CSS, Machine Learning","C++, R",https://www.linkedin.com/company/company_344,https://dummyimage.com/100x100/000/fff.png&text=Company_344,4,5
Software Engineer,Company_345,M.Tech in AI,"Machine Learning, Docker, AWS","Go, R",https://www.linkedin.com/company/company_345,https://dummyimage.com/100x100/000/fff.png&text=Company_345,6,9
UI/UX Designer,Company_346,MCA,"Docker, HTML, Deep Learning","C++, SQL",https://www.linkedin.com/company/company_346,https://dummyimage.com/100x100/000/fff.png&text=Company_346,5,8
Software Engineer,Company_347,M.Tech in AI,"AWS, Java, JavaScript","JavaScript, R",https://www.linkedin.com/company/company_347,https://dummyimage.com/100x100/000/fff.png&text=Company_347,3,4
Data Analyst,Company_348,PhD in Artificial Intelligence,"Machine Learning, HTML, Kubernetes","Scala, R",https://www.linkedin.com/company/company_348,https://dummyimage.com/100x100/000/fff.png&text=Company_348,5,7
Software Engineer,Company_349,PhD in Artificial Intelligence,"React, SQL, AWS","Ruby, R",https://www.linkedin.com/company/company_349,https://dummyimage.com/100x100/000/fff.png&text=Company_349,6,7
Frontend Developer,Company_350,MCA,"React, SQL, Machine Learning","Java, Scala",https://www.linkedin.com/company/company_350,https://dummyimage.com/100x100/000/fff.png&text=Company_350,6,8
QA Engineer,Company_351,MCA,"AWS, Java, CSS","JavaScript, Scala",https://www.linkedin.com/company/company_351,https://dummyimage.com/100x100/000/fff.png&text=Company_351,4,5
Data Scientist,Company_352,B.Sc in Data Science,"C++, Machine Learning, AWS","Java, JavaScript",https://www.linkedin.com/company/company_352,https://dummyimage.com/100x100/000/fff.png&text=Company_352,3,4
UI/UX Designer,Company_353,B.Sc in Data Science,"Node.js, React, AWS","Go, SQL",https://www.linkedin.com/company/company_353,https://dummyimage.com/100x100/000/fff.png&text=Company_353,4,7
Data Scientist,Company_354,M.Tech in AI,"C++, React, Docker","Go, Ruby",https://www.linkedin.com/company/company_354,https://dummyimage.com/100x100/000/fff.png&text=Company_354,5,7
Software Engineer,Company_355,B.Sc in Data Science,"SQL, Deep Learning, React","C++, Go",https://www.linkedin.com/company/company_355,https://dummyimage.com/100x100/000/fff.png&text=Company_355,5,7
Data Analyst,Company_356,B.Sc in IT,"HTML, JavaScript, SQL","SQL, Python",https://www.linkedin.com/company/company_356,https://dummyimage.com/100x100/000/fff.png&text=Company_356,5,8
UI/UX Designer,Company_357,B.E. in Electronics,"Java, Kubernetes, Deep Learning","Go, Ruby",https://www.linkedin.com/company/company_357,https://dummyimage.com/100x100/000/fff.png&text=Company_357,3,5
Machine Learning Engineer,Company_358,B.E. in Electronics,"Docker, Kubernetes, React","Scala, R",https://www.linkedin.com/company/company_358,https://dummyimage.com/100x100/000/fff.png&text=Company_358,5,7
Software Engineer,Company_359,M.Tech in AI,"Java, Kubernetes, CSS","R, Scala",https://www.linkedin.com/company/company_359,https://dummyimage.com/100x100/000/fff.png&text=Company_359,4,6
Backend Developer,Company_360,B.E. in Electronics,"JavaScript, Deep Learning, Docker","Java, Go",https://www.linkedin.com/company/company_360,https://dummyimage.com/100x100/000/fff.png&text=Company_360,5,6
Software Engineer,Company_361,MCA,"HTML, Node.js, React","JavaScript, R",https://www.linkedin.com/company/company_361,https://dummyimage.com/100x100/000/fff.png&text=Company_361,3,6
Data Analyst,Company_362,PhD in Artificial Intelligence,"CSS, AWS, Machine Learning","Go, JavaScript",https://www.linkedin.com/company/company_362,https://dummyimage.com/100x100/000/fff.png&text=Company_362,3,4
Machine Learning Engineer,Company_363,B.E. in Electronics,"C++, CSS, Deep Learning","JavaScript, Ruby",https://www.linkedin.com/company/company_363,https://dummyimage.com/100x100/000/fff.png&text=Company_363,3,6
Data Analyst,Company_364,B.Sc in Data Science,"Python, Docker, React","Scala, Go",https://www.linkedin.com/company/company_364,https://dummyimage.com/100x100/000/fff.png&text=Company_364,5,6
UI/UX Designer,Company_365,MCA,"Node.js, Deep Learning, Python","SQL, Python",https://www.linkedin.com/company/company_365,https://dummyimage.com/100x100/000/fff.png&text=Company_365,6,7
UI/UX Designer,Company_366,PhD in Artificial Intelligence,"JavaScript, Python, Machine Learning","Java, SQL",https://www.linkedin.com/company/company_366,https://dummyimage.com/100x100/000/fff.png&text=Company_366,3,4
Data Analyst,Company_367,B.E. in Electronics,"CSS, Java, JavaScript","R, SQL",https://www.linkedin.com/company/company_367,https://dummyimage.com/100x100/000/fff.png&text=Company_367,3,4
QA Engineer,Company_368,M.Tech in AI,"HTML, Kubernetes, React","Scala, SQL",https://www.linkedin.com/company/company_368,https://dummyimage.com/100x100/000/fff.png&text=Company_368,3,4
Backend Developer,Company_369,PhD in Artificial Intelligence,"SQL, Java, AWS","R, Java",https://www.linkedin.com/company/company_369,https://dummyimage.com/100x100/000/fff.png&text=Company_369,6,7
Software Engineer,Company_370,M.Tech in AI,"HTML, JavaScript, Kubernetes","JavaScript, R",https://www.linkedin.com/company/company_370,https://dummyimage.com/100x100/000/fff.png&text=Company_370,4,5
Machine Learning Engineer,Company_371,PhD in Artificial Intelligence,"CSS, HTML, Node.js","Go, Ruby",https://www.linkedin.com/company/company_371,https://dummyimage.com/100x100/000/fff.png&text=Company_371,6,8
DevOps Engineer,Company_372,B.Tech in Computer Science,"React, Node.js, Machine Learning","JavaScript, Scala",https://www.linkedin.com/company/company_372,https://dummyimage.com/100x100/000/fff.png&text=Company_372,4,6
Frontend Developer,Company_373,B.E. in Electronics,"AWS, Kubernetes, React","Go, Java",https://www.linkedin.com/company/company_373,https://dummyimage.com/100x100/000/fff.png&text=Company_373,5,7
Frontend Developer,Company_374,B.Tech in Computer Science,"HTML, Java, JavaScript","R, SQL",https://www.linkedin.com/company/company_374,https://dummyimage.com/100x100/000/fff.png&text=Company_374,4,5
Machine Learning Engineer,Company_375,B.Sc in IT,"SQL, React, Deep Learning","JavaScript, Scala",https://www.linkedin.com/company/company_375,https://dummyimage.com/100x100/000/fff.png&text=Company_375,4,6
Frontend Developer,Company_376,MCA,"Deep Learning, JavaScript, Machine Learning","Go, JavaScript",https://www.linkedin.com/company/company_376,https://dummyimage.com/100x100/000/fff.png&text=Company_376,5,7
Frontend Developer,Company_377,B.Sc in Data Science,"AWS, Kubernetes, C++","C++, Go",https://www.linkedin.com/company/company_377,https://dummyimage.com/100x100/000/fff.png&text=Company_377,5,8
DevOps Engineer,Company_378,B.Tech in Computer Science,"Python, Kubernetes, Deep Learning","Ruby, R",https://www.linkedin.com/company/company_378,https://dummyimage.com/100x100/000/fff.png&text=Company_378,6,7
Backend Developer,Company_379,PhD in Artificial Intelligence,"AWS, Kubernetes, React","Scala, Java",https://www.linkedin.com/company/company_379,https://dummyimage.com/100x100/000/fff.png&text=Company_379,6,7
Machine Learning Engineer,Company_380,B.Sc in Data Science,"Java, Python, Docker","Scala, SQL",https://www.linkedin.com/company/company_380,https://dummyimage.com/100x100/000/fff.png&text=Company_380,5,7
Machine Learning Engineer,Company_381,BCA,"HTML, C++, SQL","JavaScript, SQL",https://www.linkedin.com/company/company_381,https://dummyimage.com/100x100/000/fff.png&text=Company_381,3,6
Frontend Developer,Company_382,B.Sc in Data Science,"React, Kubernetes, CSS","C++, Go",https://www.linkedin.com/company/company_382,https://dummyimage.com/100x100/000/fff.png&text=Company_382,6,7
DevOps Engineer,Company_383,B.Sc in IT,"Deep Learning, AWS, JavaScript","Go, Ruby",https://www.linkedin.com/company/company_383,https://dummyimage.com/100x100/000/fff.png&text=Company_383,5,6
Frontend Developer,Company_384,MCA,"Machine Learning, C++, CSS","SQL, C++",https://www.linkedin.com/company/company_384,https://dummyimage.com/100x100/000/fff.png&text=Company_384,6,9
Frontend Developer,Company_385,BCA,"Python, CSS, C++","C++, R",https://www.linkedin.com/company/company_385,https://dummyimage.com/100x100/000/fff.png&text=Company_385,5,7
Machine Learning Engineer,Company_386,B.Sc in Data Science,"C++, Python, AWS","Java, Ruby",https://www.linkedin.com/company/company_386,https://dummyimage.com/100x100/000/fff.png&text=Company_386,6,8
QA Engineer,Company_387,BCA,"React, Docker, C++","Python, C++",https://www.linkedin.com/company/company_387,https://dummyimage.com/100x100/000/fff.png&text=Company_387,3,5
Machine Learning Engineer,Company_388,B.Sc in Data Science,"CSS, Node.js, Kubernetes","Java, JavaScript",https://www.linkedin.com/company/company_388,https://dummyimage.com/100x100/000/fff.png&text=Company_388,5,6
UI/UX Designer,Company_389,B.Sc in IT,"JavaScript, Java, Kubernetes","Java, Python",https://www.linkedin.com/company/company_389,https://dummyimage.com/100x100/000/fff.png&text=Company_389,5,6
Backend Developer,Company_390,BCA,"Docker, Kubernetes, HTML","Ruby, R",https://www.linkedin.com/company/company_390,https://dummyimage.com/100x100/000/fff.png&text=Company_390,4,7
QA Engineer,Company_391,BCA,"Python, Node.js, HTML","C++, Ruby",https://www.linkedin.com/company/company_391,https://dummyimage.com/100x100/000/fff.png&text=Company_391,5,8
Software Engineer,Company_392,PhD in Artificial Intelligence,"Python, Machine Learning, Node.js","Go, Java",https://www.linkedin.com/company/company_392,https://dummyimage.com/100x100/000/fff.png&text=Company_392,6,7
Cloud Architect,Company_393,PhD in Artificial Intelligence,"CSS, C++, JavaScript","Scala, Ruby",https://www.linkedin.com/company/company_393,https://dummyimage.com/100x100/000/fff.png&text=Company_393,6,8
Machine Learning Engineer,Company_394,BCA,"React, Docker, Node.js","JavaScript, Java",https://www.linkedin.com/company/company_394,https://dummyimage.com/100x100/000/fff.png&text=Company_394,5,6
Software Engineer,Company_395,MCA,"Deep Learning, Node.js, SQL","Scala, Go",https://www.linkedin.com/company/company_395,https://dummyimage.com/100x100/000/fff.png&text=Company_395,6,8
QA Engineer,Company_396,BCA,"AWS, JavaScript, C++","Scala, Ruby",https://www.linkedin.com/company/company_396,https://dummyimage.com/100x100/000/fff.png&text=Company_396,5,6
Backend Developer,Company_397,B.Tech in Computer Science,"HTML, JavaScript, Node.js","JavaScript, Go",https://www.linkedin.com/company/company_397,https://dummyimage.com/100x100/000/fff.png&text=Company_397,6,8
QA Engineer,Company_398,B.Tech in Computer Science,"React, Python, HTML","Scala, Python",https://www.linkedin.com/company/company_398,https://dummyimage.com/100x100/000/fff.png&text=Company_398,6,7
DevOps Engineer,Company_399,B.E. in Electronics,"Docker, CSS, C++","R, Ruby",https://www.linkedin.com/company/company_399,https://dummyimage.com/100x100/000/fff.png&text=Company_399,3,6
Data Analyst,Company_400,B.E. in Electronics,"React, C++, AWS","Scala, Ruby",https://www.linkedin.com/company/company_400,https://dummyimage.com/100x100/000/fff.png&text=Company_400,3,6
Cloud Architect,Company_401,BCA,"Java, Python, AWS","Scala, Go",https://www.linkedin.com/company/company_401,https://dummyimage.com/100x100/000/fff.png&text=Company_401,4,6
